,Voltage (V),Current (A),Current Std (A)
0,-25.0,-0.0001473891,9.208194e-07
1,-23.979591836734695,-0.0001397658,2.325985e-07
2,-22.959183673469386,-0.0001337797,1.326815e-07
3,-21.93877551020408,-0.0001296937,5.994519e-07
4,-20.918367346938776,-0.0001259518,1.477982e-07
5,-19.89795918367347,-0.00012375,2.920321e-07
6,-18.877551020408163,-0.0001204695,7.900895e-08
7,-17.857142857142858,-0.0001172089,1.90473e-07
8,-16.836734693877553,-0.0001146081,6.467031e-08
9,-15.816326530612244,-0.0001117003,6.949239e-08
10,-14.795918367346939,-0.0001087048,5.377141e-08
11,-13.775510204081632,-0.00010652,6.949527e-08
12,-12.755102040816325,-0.00010441,7.71985e-08
13,-11.73469387755102,-0.0001023753,4.596515e-08
14,-10.714285714285714,-0.0001004423,5.432948e-08
15,-9.693877551020408,-9.868625e-05,4.636102e-08
16,-8.673469387755102,-9.695523e-05,2.903254e-08
17,-7.653061224489797,-9.530149e-05,3.657997e-08
18,-6.632653061224488,-9.383963e-05,5.498021e-08
19,-5.612244897959183,-9.238425e-05,3.815646e-08
20,-4.591836734693878,-9.098017e-05,5.359923e-08
21,-3.5714285714285694,-8.953676e-05,3.35315e-08
22,-2.5510204081632644,-8.809214e-05,5.20026e-08
23,-1.5306122448979593,-8.668211e-05,5.009211e-08
24,-0.5102040816326507,-8.522868e-05,2.628525e-08
25,0.5102040816326543,-8.3742e-05,3.168175e-08
26,1.5306122448979593,-8.218856e-05,4.639764e-08
27,2.5510204081632644,-8.030856e-05,5.742781e-08
28,3.571428571428573,-7.787564e-05,5.389809e-08
29,4.591836734693878,-7.440264e-05,5.725736e-08
30,5.612244897959183,-6.984174e-05,6.187125e-08
31,6.632653061224492,-6.399969e-05,5.689664e-08
32,7.653061224489797,-5.689609e-05,3.991272e-08
33,8.673469387755105,-4.860235e-05,3.637039e-08
34,9.693877551020407,-3.809225e-05,2.902175e-08
35,10.714285714285715,-2.626321e-05,3.186878e-08
36,11.734693877551024,-1.204794e-05,4.640013e-08
37,12.755102040816325,5.409362e-06,5.853559e-08
38,13.775510204081634,2.809442e-05,5.980366e-08
39,14.795918367346943,5.970275e-05,8.151735e-08
40,15.816326530612244,0.0001030995,1.172402e-07
41,16.836734693877553,0.0001595443,1.569738e-07
42,17.85714285714286,0.0002397856,2.58029e-07
43,18.877551020408163,0.0003636709,3.778578e-07
44,19.89795918367347,0.0005886973,2.458722e-07
45,20.91836734693878,0.001017113,3.406592e-07
46,21.93877551020408,0.001775236,6.85478e-07
47,22.95918367346939,0.003027642,2.711114e-06
48,23.9795918367347,0.004962177,7.298399e-06
49,25.0,0.007785172,2.166203e-05
