,Voltage (V),Current (A),Current Std (A)
0,0.0,0.0,0.0
1,-0.2222222222222222,0.0,0.0
2,-0.4444444444444444,0.0,0.0
3,-0.6666666666666666,0.0,0.0
4,-0.8888888888888888,0.0,0.0
5,-1.1111111111111112,0.0,0.0
6,-1.3333333333333333,0.0,0.0
7,-1.5555555555555554,0.0,0.0
8,-1.7777777777777777,0.0,0.0
9,-2.0,0.0,0.0
0,0.0,1.060758e-08,7.354596e-08
1,-0.2222222222222222,2.878086e-09,9.1811e-08
2,-0.4444444444444444,1.351657e-08,8.117552e-08
3,-0.6666666666666666,1.296922e-08,7.992524e-08
4,-0.8888888888888888,-1.771042e-10,9.480095e-08
5,-1.1111111111111112,-8.903898e-10,9.673742e-08
6,-1.3333333333333333,-1.457315e-08,7.273201e-08
7,-1.5555555555555554,8.068492e-09,9.250925e-08
8,-1.7777777777777777,1.404543e-08,8.639233e-08
9,-2.0,-1.364503e-08,7.211248e-08
